run_name,source,benchmark,threads,dynamic,program_id,duration_ms,mops_total,init_ms,mops_per_thread,total_threads,avail_threads,operation_type,pid,mode,rep
run_10,dual,EP,2,True,1,69200,124.13,,124.13,1,2,Random numbers generated,21000,dynamic=true,1
run_10,dual,EP,2,True,2,42990,199.8,,99.9,2,2,Random numbers generated,21001,dynamic=true,2
run_10,dual,EP,4,True,1,37950,226.34,,113.17,2,4,Random numbers generated,26249,dynamic=true,1
run_10,dual,EP,4,True,2,21330,402.66,,100.66,4,4,Random numbers generated,26252,dynamic=true,2
run_10,dual,EP,8,True,1,18440,465.95,,116.49,4,8,Random numbers generated,30532,dynamic=true,1
run_10,dual,EP,8,True,2,11840,725.63,,90.7,8,8,Random numbers generated,30529,dynamic=true,2
run_10,dual,EP,16,True,1,6360,1351.22,,84.45,16,16,Random numbers generated,42810,dynamic=true,1
run_10,dual,EP,16,True,2,9480,906.3,,113.29,8,16,Random numbers generated,42809,dynamic=true,2
run_10,dual,EP,32,True,1,3270,2630.67,,82.21,32,32,Random numbers generated,48824,dynamic=true,1
run_10,dual,EP,32,True,2,4920,1744.28,,109.02,16,32,Random numbers generated,48825,dynamic=true,2
run_2,dual,EP,2,False,1,55790,153.96,,76.98,2,2,Random numbers generated,6853,dynamic=false,1
run_2,dual,EP,2,False,2,56290,152.59,,76.3,2,2,Random numbers generated,6849,dynamic=false,2
run_2,dual,EP,4,False,1,28350,303.04,,75.76,4,4,Random numbers generated,22087,dynamic=false,1
run_2,dual,EP,4,False,2,27880,308.06,,77.01,4,4,Random numbers generated,22090,dynamic=false,2
run_2,dual,EP,8,False,1,14190,605.18,,75.65,8,8,Random numbers generated,27142,dynamic=false,1
run_2,dual,EP,8,False,2,14160,606.45,,75.81,8,8,Random numbers generated,27145,dynamic=false,2
run_2,dual,EP,16,False,1,7370,1165.79,,72.86,16,16,Random numbers generated,39246,dynamic=false,1
run_2,dual,EP,16,False,2,10310,833.03,,52.06,16,16,Random numbers generated,39245,dynamic=false,2
run_2,dual,EP,32,False,1,3660,2347.29,,73.35,32,32,Random numbers generated,43960,dynamic=false,1
run_2,dual,EP,32,False,2,3840,2234.06,,69.81,32,32,Random numbers generated,43959,dynamic=false,2
run_2,dual,EP,2,True,1,39730,216.21,,108.1,2,2,Random numbers generated,6850,dynamic=true,1
run_2,dual,EP,2,True,2,72630,118.27,,118.27,1,2,Random numbers generated,6851,dynamic=true,2
run_2,dual,EP,4,True,1,21580,398.03,,99.51,4,4,Random numbers generated,22085,dynamic=true,1
run_2,dual,EP,4,True,2,36570,234.89,,117.45,2,4,Random numbers generated,22086,dynamic=true,2
run_2,dual,EP,8,True,1,11600,740.42,,92.55,8,8,Random numbers generated,27143,dynamic=true,1
run_2,dual,EP,8,True,2,17840,481.58,,120.39,4,8,Random numbers generated,27144,dynamic=true,2
run_2,dual,EP,16,True,1,6290,1366.5,,85.41,16,16,Random numbers generated,39244,dynamic=true,1
run_2,dual,EP,16,True,2,9830,874.09,,109.26,8,16,Random numbers generated,39247,dynamic=true,2
run_2,dual,EP,32,True,1,3140,2733.41,,85.42,32,32,Random numbers generated,43962,dynamic=true,1
run_2,dual,EP,32,True,2,4870,1765.29,,110.33,16,32,Random numbers generated,43961,dynamic=true,2
run_3,dual,EP,2,False,1,56180,152.9,,76.45,2,2,Random numbers generated,7669,dynamic=false,1
run_3,dual,EP,2,False,2,55850,153.81,,76.91,2,2,Random numbers generated,7670,dynamic=false,2
run_3,dual,EP,4,False,1,28040,306.39,,76.6,4,4,Random numbers generated,22698,dynamic=false,1
run_3,dual,EP,4,False,2,28600,300.31,,75.08,4,4,Random numbers generated,22699,dynamic=false,2
run_3,dual,EP,8,False,1,14330,599.5,,74.94,8,8,Random numbers generated,27638,dynamic=false,1
run_3,dual,EP,8,False,2,14280,601.41,,75.18,8,8,Random numbers generated,27639,dynamic=false,2
