Linux 6.4.0-150600.23.25-default (cm4r15c03s05) 	04/12/26 	_x86_64_	(224 CPU)

21:26:53      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
21:27:38    4432689         -    192891   50.00    0.00    0.00   49.80   50.00    56  |__ft.C.x
21:27:38    4432689         -    192899   49.80    0.20    0.00   49.60   50.00    72  |__openmp_worker
21:27:38    4432689    192892         -  100.00    0.00    0.00    0.00  100.00     3  ft.C.x
21:27:38    4432689         -    192892  100.00    0.00    0.00    0.00  100.00     3  |__ft.C.x
21:27:38    4432689    192893         -   99.80    0.00    0.00    0.00   99.80     1  ft.C.x
21:27:38    4432689         -    192893   99.80    0.00    0.00    0.00   99.80     1  |__ft.C.x

21:27:38      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
21:27:43        0         -        17    0.00    0.20    0.00    0.00    0.20    11  |__rcu_preempt
21:27:43        0     11966         -    0.40    0.00    0.00    0.00    0.40   172  mmfsd
21:27:43        0         -     13698    0.20    0.00    0.00    0.00    0.20   141  |__mmfsd
21:27:43        0         -     13704    0.00    0.20    0.00    0.00    0.20   135  |__mmfsd
21:27:43        0         -     14104    0.20    0.00    0.00    0.00    0.20   187  |__mmfsd
21:27:43        0    183622         -    0.00    0.20    0.00    0.00    0.20    56  kworker/56:1-events
21:27:43        0    192292         -    0.00    0.20    0.00    0.00    0.20   129  kworker/u448:6-ipoib_wq
21:27:43        0         -    192292    0.00    0.20    0.00    0.00    0.20   129  |__kworker/u448:6-ipoib_wq
21:27:43    4432689    192635         -    0.00    0.40    0.00    0.00    0.40   184  mpstat
21:27:43    4432689         -    192635    0.00    0.40    0.00    0.00    0.40   184  |__mpstat
21:27:43    4432689    192636         -    0.80    1.40    0.00    0.00    2.20   121  pidstat
21:27:43    4432689         -    192636    0.80    1.40    0.00    0.00    2.20   121  |__pidstat
21:27:43    4432689    192890         -  100.40    0.00    0.00   50.00  100.40    56  ft.C.x
21:27:43    4432689         -    192890   50.20    0.00    0.00   50.00   50.20    56  |__ft.C.x
21:27:43    4432689         -    192898   50.40    0.00    0.00   50.00   50.40    72  |__openmp_worker
21:27:43    4432689    192891         -   99.80    0.00    0.00   50.20   99.80    56  ft.C.x
21:27:43    4432689         -    192891   50.00    0.00    0.00   50.20   50.00    56  |__ft.C.x
21:27:43    4432689         -    192899   49.80    0.00    0.00   50.00   49.80    72  |__openmp_worker
21:27:43    4432689    192892         -  100.00    0.00    0.00    0.00  100.00     3  ft.C.x
21:27:43    4432689         -    192892  100.00    0.00    0.00    0.00  100.00     3  |__ft.C.x
21:27:43    4432689    192893         -  100.20    0.00    0.00    0.00  100.20     1  ft.C.x
21:27:43    4432689         -    192893  100.00    0.00    0.00    0.00  100.00     1  |__ft.C.x

21:27:43      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
21:27:48        0        17         -    0.00    0.20    0.00    0.00    0.20    11  rcu_preempt
21:27:48        0         -        17    0.00    0.20    0.00    0.00    0.20    11  |__rcu_preempt
21:27:48        0        72         -    0.00    0.20    0.00    0.00    0.20     9  ksoftirqd/9
21:27:48        0     11966         -    0.20    0.00    0.00    0.00    0.20   172  mmfsd
21:27:48        0         -    220637    0.00    0.20    0.00    0.00    0.20     7  |__mmfsd
