Linux 6.4.0-150600.23.25-default (cm4r15c01s07) 	06/01/26 	_x86_64_	(224 CPU)

13:44:38      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
13:44:48    4432689         -     36942   94.80    1.00    0.00    0.00   95.80    29  |__openmp_worker
13:44:48    4432689         -     36943    4.60    0.80    0.00    0.00    5.40    30  |__openmp_worker
13:44:48    4432689         -     36944    4.60    0.80    0.00    0.00    5.40    31  |__openmp_worker
13:44:48    4432689         -     36945    4.40    1.00    0.00    0.00    5.40     5  |__openmp_worker
13:44:48    4432689         -     36946    4.40    1.00    0.00    0.00    5.40    14  |__openmp_worker
13:44:48    4432689         -     36947    4.20    1.00    0.00    0.00    5.20    16  |__openmp_worker
13:44:48    4432689         -     36948    4.40    1.00    0.00    0.00    5.40    22  |__openmp_worker
13:44:48    4432689         -     36949    4.60    0.60    0.00    0.00    5.20    24  |__openmp_worker
13:44:48    4432689         -     36950    4.20    1.20    0.00    0.00    5.40    27  |__openmp_worker
13:44:48    4432689         -     36951    4.60    0.80    0.00    0.00    5.40     4  |__openmp_worker
13:44:48    4432689         -     36952    4.40    1.00    0.00    0.00    5.40    11  |__openmp_worker
13:44:48    4432689         -     36953    4.80    0.60    0.00    0.00    5.40    12  |__openmp_worker
13:44:48    4432689         -     36954    4.40    0.80    0.00    0.00    5.20    13  |__openmp_worker
13:44:48    4432689         -     36955    4.60    0.80    0.00    0.00    5.40     8  |__openmp_worker
13:44:48    4432689         -     36956    4.60    0.80    0.00    0.00    5.40     7  |__openmp_worker
13:44:48    4432689         -     36957    4.20    1.20    0.00    0.00    5.40    10  |__openmp_worker
13:44:48    4432689         -     36958    4.20    1.20    0.00    0.00    5.40    15  |__openmp_worker
13:44:48    4432689     36983         -  238.40   29.80    0.00    0.00  268.20    87  ft.C.x
13:44:48    4432689         -     36983    7.40    1.00    0.00    0.00    8.40    87  |__ft.C.x
13:44:48    4432689         -     36984    7.20    1.00    0.00    0.00    8.20    56  |__openmp_worker
13:44:48    4432689         -     36985    7.40    0.80    0.00    0.00    8.20    59  |__openmp_worker
13:44:48    4432689         -     36986    7.40    0.80    0.00    0.00    8.20    67  |__openmp_worker
13:44:48    4432689         -     36987    7.60    0.60    0.00    0.00    8.20    68  |__openmp_worker
13:44:48    4432689         -     36988    7.40    0.80    0.00    0.00    8.20    69  |__openmp_worker
13:44:48    4432689         -     36989    7.20    1.00    0.00    0.00    8.20    70  |__openmp_worker
13:44:48    4432689         -     36990    7.40    0.80    0.00    0.00    8.20    71  |__openmp_worker
13:44:48    4432689         -     36991    7.20    1.00    0.00    0.00    8.20    72  |__openmp_worker
13:44:48    4432689         -     36992    7.40    0.60    0.00    0.00    8.00    73  |__openmp_worker
13:44:48    4432689         -     36993    7.60    0.60    0.00    0.00    8.20    75  |__openmp_worker
13:44:48    4432689         -     36994    7.40    0.80    0.00    0.00    8.20    77  |__openmp_worker
13:44:48    4432689         -     36995    7.60    0.60    0.00    0.00    8.20    78  |__openmp_worker
13:44:48    4432689         -     36996    7.60    0.60    0.00    0.00    8.20    79  |__openmp_worker
13:44:48    4432689         -     36997    7.40    0.80    0.00    0.00    8.20    80  |__openmp_worker
13:44:48    4432689         -     36998    7.40    0.80    0.00    0.00    8.20    81  |__openmp_worker
13:44:48    4432689         -     36999    7.20    1.00    0.00    0.00    8.20    82  |__openmp_worker
13:44:48    4432689         -     37000    7.20    1.00    0.00    0.00    8.20    83  |__openmp_worker
13:44:48    4432689         -     37001    7.20    1.00    0.00    0.00    8.20    84  |__openmp_worker
13:44:48    4432689         -     37002    7.20    1.00    0.00    0.00    8.20    85  |__openmp_worker
13:44:48    4432689         -     37003    7.40    0.80    0.00    0.00    8.20    86  |__openmp_worker
13:44:48    4432689         -     37004    7.20    1.00    0.00    0.00    8.20    58  |__openmp_worker
13:44:48    4432689         -     37005    7.40    0.80    0.00    0.00    8.20    61  |__openmp_worker
13:44:48    4432689         -     37006    7.20    1.00    0.00    0.00    8.20    62  |__openmp_worker
13:44:48    4432689         -     37007    7.40    0.60    0.00    0.00    8.00    63  |__openmp_worker
13:44:48    4432689         -     37008    7.40    0.60    0.00    0.00    8.00    64  |__openmp_worker
13:44:48    4432689         -     37009    7.40    0.80    0.00    0.00    8.20    66  |__openmp_worker
13:44:48    4432689         -     37010    7.40    0.80    0.00    0.00    8.20    74  |__openmp_worker
13:44:48    4432689         -     37011    7.20    1.00    0.00    0.00    8.20    76  |__openmp_worker
13:44:48    4432689         -     37012    7.40    0.80    0.00    0.00    8.20    60  |__openmp_worker
